"QuestionTitle","ReviewDate","Keywords","CategoriesID","QuestionText"
"ค่าหอพักเทอมละกี่บาท?","2000-12-28","ค่า, น้ำ, หอพัก, เทอม, เท่าไหร่, ไฟ","=""3-2""","ค่าเทอมหอพักนักศึกษาเทอมละ 2,000 บาท (รวมค่าน้ำค่าไฟ)"
"สามารถระบุชื่อเพื่อนที่จะมาเป็นรูมเมทได้ไหม?","2000-12-28","ชื่อ, ระบุ, รูมเมท, เพื่อน","=""3-1""","สามารถระบุชื่อเพื่อนที่จะมาเป็นรูมเมทได้ ในขั้นตอนการสมัครเข้าหอพัก"
"ข้อห้ามของหอพัก?","2000-12-28","กฎ, กฎระเบียบและเวลาทำการ, ข้องห้าม, ระเบียบ, หอพัก, ห้าม","=""3-3""","1. ห้ามดื่มสุราและของมึนเมา: ห้ามนำเหล้า เบียร์ หรือสิ่งเสพติดทุกชนิดเข้ามาในหอพัก
2. ห้ามเล่นการพนัน: ไม่ว่าจะเป็นไพ่ หรือการพนันรูปแบบอื่นๆ
3. ห้ามส่งเสียงดัง: รบกวนเพื่อนห้องข้างๆ หรือทะเลาะวิวาท
4. ห้ามนำสัตว์เลี้ยงเข้าหอ: ไม่ว่าจะเป็นสุนัข แมว หรือสัตว์อื่นๆ
5. ห้ามพาบุคคลภายนอกเข้าห้อง: โดยเฉพาะเพศตรงข้าม (หอชาย/หอหญิง แยกกันชัดเจนครับ)
4. ห้ามประกอบอาหาร: (ในห้องพัก) เพื่อป้องกันอัคคีภัย (ยกเว้นต้มมาม่าด้วยกาน้ำร้อนปกติ)
5. ห้ามสลับห้อง: ต้องพักตามห้องที่ได้รับจัดสรรเท่านั้น หากต้องการย้าห้องพักกรุณาติดต่อกองพัฒนานักศึกษา"
"ระบบรักษาความปลอดภัย?","2000-12-27","กล้อง, ความปลอดภัย, ยาม, ระบบ, สิ่งอำนวยความสะดวกและความปลอดภัย, สแกน, หอพัก","=""3-4""","1. ประตูเข้า-ออกหอพักเป็นระบบสแกนนิ้ว
2. มีกล้องวงจรปิด เปิดตลอด 24 ชม. 
3. มียามรักษาความปลอดภัย"
"หอพักปิดกี่ทุ่ม และเปิดกี่โมง?","2000-12-28","กฎระเบียบและเวลาทำการ, กลับ, ปิด, หอพัก, ออก, เข้า, เปิด, เวลา","=""3-3""","เวลาเปิดหอพัก: โดยปกติอนุญาตให้นักศึกษาออกได้ตั้งแต่ช่วงเช้าตรู่ (ประมาณ 05.00 - 06.00 น. ตามระเบียบทั่วไปของมหาวิทยาลัย)
เวลาปิดหอพัก: นักศึกษาต้องกลับเข้าหอพักภายในเวลา 21.00 น. (หากกลับดึกกว่านี้ต้องลงชื่อเข้าออกหอพักยามวิกาล)"
"ภายในห้องพัก?","2000-12-28","ของ, ห้อง, เตียง, เฟอร์นิเจอร์","=""3-4""","หอพักชาย
1. เตียงเดี่ยว จำนวน 4 เตียง 
2. ตู้เสื้อผ้า จำนวน 4 ตู้
3. โต๊ะคอม จำนวน 4 โต๊ะ
4. พัดลมเพดาน
5. มุ่งลวดและเหล็กดัด
7. ราวตากผ้า
** ห้องน้ำรวม

หอพักหญิงหลังใหม่
1. เตียง 2 ชั้น จำนวน 2 เตียง 
2. ตู้เสื้อผ้า จำนวน 4 ตู้
3. โต๊ะคอม, เก้าอี้  จำนวน 4 ชุด
4. พัดลมเพดาน จำนวน 2 ตัว
5. ผ้าม่าน
6. มุ่งลวดและเหล็กดัด
7. ราวตากผ้า จำนวน 1-2 ราว (สามารถเบิกราวตากผ้าได้ที่กองพัฒนานักศึกษา)
** ห้องน้ำในตัว"
"คู่มือระบบหอพัก?","2000-12-28","ของ, คือมือ, ซ่อม, ระบบ, วิธี, ห้อง, หอพัก, เตียง, เฟอร์นิเจอร์, แจ้ง","=""3-1""","https://drive.google.com/file/d/1y8r9pLRjfM59BDYc88a67yL42HNfWFEH/view"
"ลิงค์สำหรับสมัครหอพัก และเช็คสิทธิ์?","2000-12-28","facebook, ประกาศ, รายชื่อ, ลิงค์, สมัคร, สิทธิ์, หอพัก, เช็ค, เพจ","=""3-1""","ระบบจัดการหอพัก (สมัคร/จองห้องพัก): https://miscenter.pcru.ac.th/dormitory/
เช็คสิทธิ์/ลงทะเบียนใช้งานครั้งแรก: https://miscenter.pcru.ac.th/dormitory/regis
ติดตามประกาศรายชื่อและกำหนดการ: แนะนำให้ดูที่เพจ Facebook ""หน่วยหอพักนักศึกษา มหาวิทยาลัยราชภัฏเพชรบูรณ์"""
"ช่องทางในการติดต่อหอพัก?","2000-12-28","facebook, ช่องทาง, ติดต่อ, หอพัก, เพจ","=""3-5""","Facebook: หน่วยหอพักนักศึกษา มหาวิทยาลัยราชภัฏเพชรบูรณ์
โทร: 056-717100 ต่อ 5115"
"เกี่ยวกับห้องพยาบาล?","2000-12-28","บริการ, บริการด้านสุขภาพ, พยาบาล, หยุด, ห้อง, เปิด","=""4-2""","ห้องพยาบาลอยู่ที่อาคารหมายเลขที่ 41 ตามแผนผังดังภาพ
วันเปิดทำการ: วันจันทร์ - วันศุกร์ (ปิดวันเสาร์-อาทิตย์ และวันหยุดนักขัตฤกษ์)
เวลาให้บริการ: 08.30 – 16.30 น. (ในเวลาราชการ) (หมายเหตุ: หากเจ็บป่วยฉุกเฉินนอกเวลาทำการ แนะนำให้ติดต่อโรงพยาบาลเพชรบูรณ์ หรือโทรสายด่วน 1669) 
บริการที่มีให้ (ไม่เสียค่าใช้จ่าย):
-	ตรวจรักษาโรคเบื้องต้น จ่ายยา
-	ปฐมพยาบาล ทำแผล
-	มีเตียงนอนพักสังเกตอาการ (สำหรับผู้ป่วยที่อาการไม่หนักมาก)
-	บริการส่งต่อโรงพยาบาล (กรณีเจ็บป่วยรุนแรง)"
"เกี่ยวกับห้องคอมพิวเตอร์?","2000-12-28","คอม, คอมพิวเตอร์, บริการ, หยุด, ห้อง, เปิด","=""4-1""","ห้องคอมพิวเตอร์อยู่ที่อาคารหมายเลขที่ 53 อาคารบรรณราชนครินทร์ ตามแผนผังดังภาพ
วันเปิดทำการ จันทร์ - ศุกร์: 07.30 – 17.00 น.
เสาร์ - อาทิตย์: 08.30 – 17.00 น. (หยุดวันนักขัตฤกษ์)"
"เสื้อเฟรชชี่ประจำรุ่น จะได้รับตอนไหน และต้องจ่ายเงินเพิ่มไหม?","2000-12-28","จ่าย, รับ, รุ่น, เฟรชชี่, เสื้อ","=""4-3""","หลังเปิดภาคเรียน 1-2 สัปดาห์ไม่ต้องจ่ายเงินเพิ่ม สามรถรับได้ที่กองพัฒนานักศึกษา"
"เกี่ยวกับสหกรณ์ของมหาวิทยาลัย?","2000-12-28","บริการ, สหกรณ์, หยุด, ห้อง, เปิด","=""4-3""","สหกรณ์ของมหาวิทยาลัยอยู่ใกล้กับ อาคารหมายเลขที่ 2
วันเปิดทำการ: วันจันทร์ - วันอาทิตย์ (ปิดวันหยุดนักขัตฤกษ์)
เวลาให้บริการ: 08.30 – 16.30 น."
"ชื่อผู้ใช้ในการล็อกอิน และรหัสผ่าน WiFi ของมหาวิทยาลัยคืออะไร?","2000-12-28","password, user, wifi, ผู้ใช้, รหัส, ล็อกอิน","=""4-1""","ชื่อผู้ใช้: รหัสนักศึกษา
รหัสผ่าน: วัน/เดือน/ปีเกิด 
(เช่น 25/04/48)"
"วิธีการสมัครอีเมล และ Microsoft 365  มหาวิทยาลัย?","2000-12-28","365, Microsoft, ขั้นตอน, วิธี, สมัคร, อีเมล","=""4-1""","คู่มือการสมัครวิธีการสมัครอีเมล และ Microsoft 365: https://docs.google.com/document/d/1yHw6Qb58QwXJq3FktjQBj6Iew42uRqVCU23jczpFX-4/edit?tab=t.0"
"มหาวิทยาลัยให้พื้นที่ใน Google Drive เท่าไหร่?","2000-12-26","GB, Google Drive, พื้นที่","=""4-1""","ให้พื้นที่ฟรี: 15 GB
เงื่อนไข: พื้นที่ 15 GB นี้จะ ใช้ร่วมกัน 3 บริการ คือ
-	Google Drive (ไฟล์เอกสาร รูปภาพ ที่อัปโหลด)
-	Gmail (อีเมลและไฟล์แนบ)
-	Google Photos (รูปถ่ายและวิดีโอที่สำรองข้อมูล)"
